Unnamed: 0,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
11,Player C,Team A,20,180.0540397,,Goalkeeper,27,12,1,0,79.73654411,14.53105888,41,12,12,9,0.969909852,44,5,9.584961089,0,2.357142857,206.8442925,2021
12,Player C,Team A,30,161.7358871,102.2386243,Midfielder,10,,1,3,,9.914263347,4,13,15,6,0.832442641,68,4,8.575785382,0,4.818181818,120.4531917,2021
13,Player C,Team A,20,173.939119,65.33268531,Forward,0,12,9,1,78.8110692,10.13173155,45,4,15,1,0.212339111,48,3,12.32217814,1.467401787,24,94.69812132,2021
14,Player D,Team C,38,167.167187,,Goalkeeper,22,4,0,4,58.9531124,12.88125739,3,6,10,7,0.181824967,57,6,8.242307414,0.829280264,2.434782609,183.124529,2019
15,Player A,Team C,23,185.8828067,100.0971644,Forward,12,11,1,3,,11.95379713,13,2,8,8,0.18340451,75,3,12.25555412,0.693558155,6.076923077,169.0112019,2020
16,Player D,Team B,28,178.5708948,,Forward,280,5,6,0,,7.370611229,92,13,17,0,0.304242243,22,9,19.34909758,0.703138596,3.137931034,342.6750095,2021
17,Player D,Team C,34,179.8127059,,Goalkeeper,23,13,0,3,97.37383083,5.25466349,10,6,14,5,0.524756432,4,9,17.59676053,2.707834411,0.291666667,564.3048141,2021
18,Player D,Team C,27,177.1076715,81.17063407,Goalkeeper,22,7,0,3,79.42479896,12.78449209,59,8,12,3,0.431945019,81,9,19.12446379,6.918208752,3.782608696,293.6429552,2019
19,Player C,Team A,29,198.2407884,74.22016891,Goalkeeper,16,7,8,0,,6.297427992,21,6,6,9,0.29122914,72,8,17.09493462,3.910379946,3.117647059,132.1024305,2022
20,Player B,Team A,34,168.589405,81.58437857,Defender,2,6,1,0,58.41821816,10.98369229,4,12,2,9,0.611852895,46,4,10.32126404,1.522562858,21.66666667,138.3756441,2021
21,Player A,Team C,21,180.6665704,102.399129,Goalkeeper,,16,3,4,82.71051831,14.42631774,52,0,11,4,0.139493861,59,7,17.18067858,1.820849353,0.2,464.0486312,2020
22,Player B,Team B,19,,113.1554201,Defender,180,,2,0,86.64887357,10.4944349,11,8,25,5,0.292144649,34,5,18.84373615,0.754749756,0.46961326,,2021
23,Player D,Team A,28,182.2737765,53.48370376,Midfielder,6,9,3,0,52.08072603,7.855732586,20,6,17,5,0.366361843,11,3,19.20553682,2.316420125,10.71428571,228.0798266,2022
24,Player D,Team C,24,197.1608354,86.68780789,Forward,19,12,6,0,54.85821585,6.788021223,78,1,8,6,0.456069984,31,2,15.24796776,0.593119374,0.5,219.6674402,2022
25,Player B,Team C,19,,52.29848004,Midfielder,27,9,9,2,89.07904403,5.269499109,23,4,2,8,0.785175961,11,5,8.170499657,3.412262473,0.464285714,681.7675433,2021
26,Player B,Team B,35,178.5470322,82.78866815,Goalkeeper,,13,1,0,71.99750107,11.23244942,12,10,23,3,0.199673782,56,0,5.5959373,5.19312326,,,2020
27,Player B,Team B,38,163.5408926,111.969798,Forward,21,,1,0,,10.57999069,95,9,0,8,0.514234438,38,1,7.208003422,1.925784454,0.136363636,205.2670941,2019
28,Player D,Team A,21,184.3599644,75.31131865,Goalkeeper,11,6,8,0,,9.617259154,25,14,20,0,0.592414569,21,6,19.48320377,2.900640661,7.916666667,244.7259629,2019
29,Player D,Team B,25,171.5284787,115.2715295,Goalkeeper,25,6,5,4,99.59829122,6.937714291,39,1,20,8,0.046450413,94,3,11.93145236,0.046529161,0.038461538,554.0579972,2020
30,Player A,Team C,37,,,Forward,21,17,6,3,88.21922685,7.366318666,25,6,21,7,0.607544852,10,4,17.82479022,6.953678348,2,755.0167432,2020
31,Player A,Team C,31,181.7812517,,Midfielder,9,15,4,0,89.62968872,14.58529003,99,8,6,1,0.170524124,26,9,11.9756623,0,7.9,244.6663515,2022
32,Player D,Team B,29,,103.0016638,Goalkeeper,,7,4,0,117.1245706,5.204040883,44,3,18,6,0.065051593,91,0,14.91226375,6.506969991,0.904761905,216.6507698,2019
33,Player B,Team B,39,,57.24046167,Forward,11,15,3,4,59.61127212,8.63434665,29,2,11,6,0.948885537,8,1,5.362111657,3.257909924,1.916666667,299.6425103,2019
34,Player B,Team B,38,187.9286181,66.18059573,Midfielder,14,18,7,3,107.8067999,5.38812505,63,5,29,1,0.965632033,8,3,8.747974141,1.972911029,5.133333333,593.296611,2022
35,Player A,Team B,35,184.9508876,77.59193182,Defender,50,14,6,4,,6.915693391,72,7,13,7,0.808397348,60,7,11.5440392,0.209581612,4.166666667,95.08385605,2019
36,Player D,Team A,28,,61.90748174,Midfielder,,,9,1,84.3354899,14.33136287,87,7,12,5,0.304613769,72,9,14.45946571,0.810097368,0.684210526,485.1644977,2019
37,Player A,Team B,25,178.7773945,84.64381233,Midfielder,29,,1,1,,6.495627763,37,7,4,5,0.097672114,34,3,7.572817821,0,2.866666667,278.6957378,2020
38,Player A,Team A,19,188.8129167,82.9957709,Forward,,,1,1,,11.00785308,17,4,11,4,0.684233027,16,2,16.46827196,0,,,2022
39,Player C,Team C,32,181.1774296,116.9381439,Midfielder,25,14,5,0,106.6220004,8.469450738,8,12,7,7,0.440152494,13,2,10.46607059,0.141209526,0.5,770.7923347,2020
40,Player C,Team B,26,175.819563,80.3609518,Defender,,,0,4,63.72951782,11.33048122,85,10,5,9,0.122038235,87,4,17.26152904,7.00284945,16,148.9985952,2019
41,Player C,Team A,36,,104.9938763,Defender,,,6,0,,13.52142859,55,12,17,8,0.49517691,76,2,6.469536356,0.325885945,,,2020
42,Player B,Team B,37,184.4157547,,Goalkeeper,19,17,7,1,,7.865444104,37,11,6,4,0.034388521,91,7,15.19634882,0.942641477,2.35,556.9449196,2020
43,Player D,Team C,25,,,Defender,26,15,9,3,,5.786231321,20,5,18,0,0.909320402,22,4,9.399924998,2.946228411,0.666666667,302.212248,2019
44,Player D,Team C,36,186.8697936,64.60673372,Goalkeeper,,,7,3,76.73657439,7.041798914,70,11,14,5,0.258779982,96,6,16.93074761,4.731417742,46,283.6474,2021
45,Player D,Team C,22,162.9898361,84.7220926,Defender,20,2,2,4,50.26297762,9.390902135,11,12,9,0,0.662522284,27,7,11.03255641,3.347755457,2.619047619,259.4215266,2021
46,Player D,Team B,28,178.4273989,74.34178476,Midfielder,18,0,6,3,93.6877661,10.15063862,35,1,8,4,0.311711076,64,4,14.98024448,1.011548257,3.473684211,207.3904923,2021
47,Player C,Team B,32,195.6329653,,Goalkeeper,27,12,0,1,97.77935665,14.41895272,10,5,19,5,0.520068021,2,7,19.01457903,5.703021075,1.071428571,753.6639539,2020
48,Player B,Team A,25,163.778497,75.25647784,Defender,18,11,2,4,60.11562275,5.161019783,66,13,15,2,0.546710279,97,2,5.30939948,1.380165027,3.052631579,487.0217153,2021
49,Player B,Team C,36,199.5550285,107.8451447,Midfielder,3,8,5,4,92.11163636,12.57627073,26,12,26,0,0.184854456,26,6,5.166751735,0.730953541,21.5,215.1911618,2019
50,Player C,Team B,25,197.9627757,81.64973386,Midfielder,27,1,8,1,98.66432259,5.725097358,62,4,19,1,0.969584628,92,7,16.55418878,2.501298918,0.571428571,186.2605274,2021
51,Player B,Team C,36,163.1309792,86.65860326,Goalkeeper,19,8,4,1,66.34870617,5.779221053,70,2,3,2,0.775132823,83,6,14.69589577,0.684445286,2.2,517.968799,2019
52,Player C,Team C,35,,,Forward,4,7,4,1,59.25284143,11.54132292,65,7,9,2,0.939498942,69,1,9.394695808,1.789035973,9.2,128.338208,2020
53,Player D,Team A,27,174.5253036,54.19854905,Midfielder,6,,8,1,115.3370657,14.08932557,73,3,9,1,0.89482735,97,7,12.41595054,1.580315962,12.57142857,145.8891372,2020
54,Player C,Team A,24,193.7883667,84.15703479,Midfielder,3,12,8,4,,7.876963341,66,13,7,5,0.597899979,84,5,5.629034984,0.657712007,8,158.8553177,2019
55,Player D,Team A,26,176.7353335,104.1843195,Forward,10,1,5,3,63.7980321,7.693061789,80,1,0,6,0.921874235,30,9,7.88668408,2.574243011,2.545454545,142.7424362,2021
56,Player D,Team A,18,177.6342045,,Goalkeeper,22,,4,1,87.10146334,11.17711824,64,10,2,4,0.088492502,8,2,11.36744562,4.751644764,3.652173913,590.1492628,2019
57,Player A,Team C,36,,92.80721162,Defender,24,5,9,2,80.86767408,12.76280831,33,2,23,6,0.195982862,38,3,17.51066624,3.035934533,3.68,325.3599437,2019
58,Player C,Team A,22,190.9790968,66.76253457,Defender,,,1,4,84.22553565,13.6895912,76,1,11,2,0.045227289,61,6,12.19500774,5.325239617,11.66666667,,2022
59,Player A,Team A,36,,110.7182879,Midfielder,4,2,7,0,103.1902605,7.497061486,77,1,6,4,0.325330331,81,2,13.79543757,0.904592906,15.2,63.40032198,2019
60,Player C,Team A,18,183.7262398,72.89697658,Forward,19,13,7,3,84.3072112,12.40199179,80,2,21,2,0.38867729,65,0,18.10630688,0.260054018,0.2,294.0074916,2022
61,Player C,Team A,32,167.4693198,73.03439718,Midfielder,14,,6,4,67.11206185,8.072120905,33,12,22,3,0.271349032,67,5,9.632283704,3.022706045,2.8,556.4605764,2019
62,Player A,Team C,33,173.8379807,91.8735715,Goalkeeper,,,7,1,65.57501133,10.4481192,63,6,0,5,0.828737509,46,2,15.51048982,0.297956187,3.32,,2021
63,Player A,Team A,24,173.9187466,62.84940357,Midfielder,20,7,2,2,71.42332723,6.908524713,16,9,23,3,0.356753327,90,9,17.92500888,8.194507383,2.333333333,400.9016013,2019
64,Player C,Team C,29,,,Defender,,0,2,0,,6.460020241,50,13,19,3,0.28093451,95,5,8.03923551,8.318961279,,,2019
65,Player B,Team B,25,173.3654565,79.16422951,Forward,,19,1,3,96.91355177,14.3530355,55,0,0,6,0.542696083,72,9,10.34717248,2.904260637,5.333333333,629.9537062,2021
66,Player D,Team C,22,164.2944447,74.75465042,Goalkeeper,15,14,0,1,103.1949485,10.4719925,88,9,3,5,0.140924225,43,2,19.69715261,2.094687896,0.0625,553.6347141,2021
67,Player A,Team C,27,165.8251495,86.74140526,Midfielder,,,2,4,54.28830686,5.04589547,93,5,17,0,0.802196981,59,5,19.74827847,1.612950824,,,2019
68,Player D,Team A,38,161.3375194,91.97481008,Defender,9,17,2,4,96.91492662,12.93436544,47,10,4,7,0.074550644,46,3,8.348448954,3.475430024,4.7,272.4793336,2022
69,Player B,Team B,22,178.8099634,89.66672176,Midfielder,,,6,3,54.02141043,11.90870132,99,0,0,0,0.986886937,72,3,5.996687583,2.582419765,,,2022
70,Player B,Team B,34,198.1779078,,Defender,22,5,9,2,,8.258828046,61,2,0,8,0.772244769,35,9,9.06382417,4.184084989,2.652173913,408.0601878,2019
71,Player B,Team B,22,164.6270089,71.54246616,Forward,,16,8,1,115.1151964,9.639642825,55,11,4,3,0.198715682,39,9,10.96597936,6.879411244,0.831683168,1782.871081,2021
72,Player A,Team B,39,197.8505797,58.8498359,Goalkeeper,16,12,0,3,77.57392703,9.498794973,10,3,17,6,0.005522117,92,1,11.61508401,5.978028761,5.294117647,552.7801553,2021
73,Player B,Team C,32,189.3344606,206.5130558,Midfielder,23,16,7,3,67.63430989,7.747696952,84,12,8,4,0.815461428,51,3,14.28209461,0.136541472,2.333333333,285.3720759,2022
74,Player A,Team B,30,,109.5546268,Goalkeeper,,15,0,4,96.54548433,14.8055704,19,7,9,9,0.706857344,4,3,18.4925414,2.949749045,3.266666667,485.0723,2019
75,Player B,Team C,18,185.8111102,67.99043626,Forward,240,16,2,3,98.02531944,10.43885083,92,1,6,2,0.729007168,80,6,9.955220179,1.824491255,0.195020747,1613.413553,2020
76,Player D,Team C,28,193.0691059,78.49643693,Defender,,0,3,0,66.53813471,13.97279441,67,14,14,7,0.771270347,77,4,17.74976803,0.939582571,3,67.3361326,2020
77,Player D,Team C,18,164.2767946,,Forward,24,15,7,0,93.4212072,10.85355386,33,6,13,9,0.074044652,84,7,6.402183814,0.607161153,2.88,526.4740693,2020
78,Player C,Team B,28,180.1901729,,Forward,,5,0,1,83.92644259,11.90183124,41,2,3,1,0.358465729,51,6,5.628120485,0,,,2020
79,Player D,Team A,35,187.8836455,96.16431198,Goalkeeper,,7,1,3,63.72456864,5.295424435,40,0,13,9,0.11586906,5,9,12.56067775,3.988601328,4.666666667,141.3178515,2021
80,Player C,Team A,35,183.4728178,52.91222633,Forward,14,0,4,4,97.07163405,10.11818549,61,5,6,2,0.863103426,55,8,5.89493335,2.053796056,3.2,97.58585106,2020
81,Player D,Team B,38,193.3111628,100.5033958,Midfielder,140,,5,1,53.15345563,12.21276783,16,1,7,4,0.623298127,20,7,10.88734702,4.029485882,0.163120567,2787.961375,2019
82,Player A,Team A,33,162.8908684,,Defender,60,14,4,2,65.89711496,6.218630382,11,12,23,4,0.330898025,24,8,18.45167175,0.244660195,6.571428571,258.7636289,2022
83,Player D,Team A,30,187.6280416,165.5603995,Forward,2,4,2,4,69.81308054,11.78324963,67,2,7,4,0.06355835,36,0,8.622245543,2.840020056,6.333333333,51.7523062,2022
84,Player C,Team C,24,181.3611092,107.9369795,Midfielder,13,19,9,2,,5.842722269,40,13,27,6,0.310982322,34,9,15.58963663,0.28586802,6.857142857,211.9091004,2021
85,Player C,Team C,18,175.1664346,81.58507193,Defender,29,14,6,1,51.92165132,13.07022918,13,5,4,7,0.325183322,54,2,9.535480886,1.30468616,1.666666667,375.3218131,2021
86,Player B,Team B,33,173.6109993,60.43628241,Goalkeeper,8,9,0,0,94.48884509,14.7778384,3,2,22,7,0.729606178,34,4,5.673800829,0.816857412,6.222222222,249.7823857,2020
87,Player A,Team B,18,184.8333053,118.9523692,Defender,2,4,1,4,82.95514717,11.26734601,97,11,10,2,0.637557471,83,8,13.35035872,2.319406702,30.33333333,97.49812643,2020
88,Player D,Team A,34,,224.4999647,Goalkeeper,5,2,8,4,63.75114156,5.770778928,81,4,22,7,0.887212743,17,7,17.52280236,0.12645415,11.16666667,75.86313669,2019
89,Player B,Team C,23,179.847037,103.9919543,Defender,19,5,3,1,,10.86753449,76,13,1,9,0.472214925,5,9,11.14202673,0,0.05,190.3720036,2022
90,Player D,Team B,19,192.9889266,78.8058122,Forward,8,14,7,4,76.846196,12.4086308,73,2,14,1,0.119594246,89,6,14.2594074,2.276961533,7,433.2212894,2019
91,Player D,Team B,34,352.1725105,62.86920088,Goalkeeper,0,,8,4,66.8137881,14.33095996,13,11,18,3,0.713244787,18,1,18.50035396,0,19,196.119995,2022
92,Player B,Team B,23,164.0957785,115.8987827,Goalkeeper,80,,6,1,51.42982352,5.454586918,8,6,26,1,0.760785049,55,5,16.84541769,0,5.555555556,236.4445152,2021
93,Player B,Team B,31,162.4602295,87.26457886,Goalkeeper,11,9,0,3,77.55503382,12.75042309,42,6,17,4,0.561277198,53,3,7.908145991,0,1.75,340.5624917,2021
94,Player B,Team B,35,,109.6648822,Forward,3,3,4,1,54.10907574,6.325817069,19,11,14,2,0.77096718,50,4,16.00075939,4.536216226,19.5,60.32611994,2022
95,Player B,Team B,23,175.2060057,73.9466504,Forward,25,10,5,4,90.50881779,12.90586377,0,0,18,9,0.493795596,72,4,12.52839538,3.457485352,1.461538462,497.7441551,2019
96,Player B,Team A,27,173.48951,,Defender,,19,7,1,54.42628261,13.88710286,92,5,24,9,0.522732829,91,3,16.18950212,2.749673097,0.158940397,2721.373691,2020
97,Player D,Team C,35,188.7174809,118.9878336,Defender,40,6,9,4,,13.61242831,80,12,6,2,0.427541018,79,3,12.41773326,0.525618173,0.243902439,893.1039856,2022
98,Player B,Team C,26,189.7128601,86.52831339,Forward,26,14,7,2,71.72758961,11.52873157,71,12,3,4,0.025419127,45,3,6.919372462,5.878725213,1.851851852,322.8607639,2020
99,Player A,Team B,25,162.0341588,59.84867967,Forward,28,,8,2,77.81008311,10.00765629,16,14,13,3,0.107891427,13,1,13.5486417,3.568683554,1.482758621,,2022
100,Player C,Team C,27,168.8449305,65.37722746,Goalkeeper,16,,8,0,51.97539451,13.74586712,84,2,7,5,0.031429186,16,0,12.38200989,5.33704253,2.941176471,,2022
101,Player B,Team C,34,170.970474,83.73609956,Defender,29,11,3,1,60.19162238,10.1907126,88,6,28,4,0.636410411,86,1,12.768826,0.424980524,3.233333333,753.2866398,2019
102,Player B,Team C,23,181.9044794,52.97296373,Defender,,,5,1,59.9750592,6.90111128,19,0,22,9,0.314355981,84,6,18.1835368,0.822676574,,,2020
103,Player D,Team B,31,165.780609,82.37737898,Goalkeeper,5,5,2,2,79.94853073,14.42833032,58,9,9,4,0.508570691,13,0,18.4225557,0.520937393,4.5,138.4064249,2022
104,Player B,Team B,39,165.3576488,79.32585895,Goalkeeper,25,17,0,2,63.18177663,8.732906599,88,2,12,2,0.907566474,20,5,11.8030566,0.400604808,3.230769231,819.3397511,2020
105,Player B,Team C,39,,104.5535386,Goalkeeper,28,,5,2,,11.24349028,84,11,5,3,0.249292229,66,3,11.83598062,3.146691898,2.75862069,850.470097,2020
106,Player B,Team C,23,192.1681163,74.84593751,Midfielder,14,5,0,0,50.91765361,6.99145808,12,9,3,2,0.410382923,99,1,12.72780438,0.801841027,4.133333333,223.7602652,2021
107,Player D,Team B,24,167.2261961,118.7784133,Midfielder,0,14,8,0,92.02724176,6.10539636,76,1,4,2,0.755551139,47,2,12.79383918,0,55,188.9107931,2019
108,Player B,Team A,29,176.2627123,125.3077887,Forward,12,18,5,3,98.57740986,10.5103845,46,13,9,9,0.228798165,19,6,19.25580716,1.727752458,6.769230769,182.7782947,2019
109,Player C,Team C,20,,91.36906795,Defender,15,4,0,1,85.16309967,10.5459455,49,7,23,8,0.07697991,45,5,14.74100701,1.025731673,5.25,164.6676633,2020
110,Player D,Team A,31,191.640163,,Goalkeeper,1,,2,0,,8.697423395,93,7,12,9,0.289751453,37,5,9.161854923,0.72225389,35,,2019
111,Player C,Team C,39,180.4085167,101.3704789,Goalkeeper,28,,0,4,56.1005471,8.117385326,76,10,18,5,0.161221287,54,7,12.97305195,0.334460157,2.689655172,,2019
112,Player D,Team A,36,165.1139895,119.6327582,Defender,29,,1,1,,8.741734875,39,13,10,9,0.929697652,6,7,14.40835374,2.038445762,0.866666667,,2021
113,Player B,Team A,33,189.5596825,107.3397046,Midfielder,180,11,5,3,72.86608617,12.951456,6,8,27,1,0.80812038,14,5,14.59657582,0.697056621,0.524861878,3118.88812,2019
114,Player C,Team A,24,175.8755191,88.89924785,Defender,22,,6,2,70.99381545,8.577347919,54,12,18,0,0.633403757,4,0,13.77881339,3.148235121,0.826086957,,2019
115,Player D,Team B,25,170.5169699,83.93189502,Forward,1,6,0,3,68.91517906,14.21372674,50,8,4,2,0.87146059,86,9,7.666042319,5.010487115,4,100.1759642,2022
116,Player A,Team A,35,175.0199449,,Midfielder,20,,9,1,74.837673,6.129624678,75,10,24,2,0.803672077,55,6,5.503897836,1.687658605,0.571428571,412.2366653,2022
117,Player B,Team A,30,179.9102625,,Defender,240,1,4,2,102.6326518,14.31576295,1,12,4,3,0.186570059,34,7,10.06764579,0.543267554,1.64,256.5728708,2022
118,Player D,Team A,38,347.4492413,119.2444568,Defender,11,,5,3,51.91472984,11.89548006,13,1,0,3,0.892558998,27,4,11.41283232,2.53860085,3.75,,2022
119,Player A,Team C,26,169.6762309,77.75774593,Forward,11,,3,3,,8.443509255,16,6,20,4,0.539342242,7,3,5.927063594,0.074732915,0.833333333,324.9417461,2019
120,Player D,Team A,27,175.9400812,119.3642232,Defender,25,12,5,1,59.99992401,5.068552233,76,6,8,3,0.807440155,3,6,17.22451007,0.200817158,1.115384615,731.8107919,2020
121,Player A,Team C,38,,60.91483765,Midfielder,7,4,4,0,63.90351278,13.02431622,0,3,6,1,0.8960913,47,5,10.16116156,0.464045154,7.375,134.3893823,2022
122,Player B,Team A,26,,67.74848432,Goalkeeper,11,4,6,4,58.47288098,14.69327463,0,5,8,0,0.318003475,97,5,18.70449119,3.695666724,2.333333333,252.0410521,2022
123,Player C,Team A,32,166.8377957,56.23112873,Goalkeeper,,19,3,3,,14.82439361,25,0,25,9,0.110051925,2,2,7.316151618,0.183864302,,,2020
124,Player A,Team B,37,161.7561845,,Goalkeeper,10,,0,4,59.29186983,9.234052102,45,13,9,6,0.227935163,80,9,5.854024354,3.233883098,6.454545455,172.2172557,2020
125,Player D,Team C,19,186.1479477,103.7556286,Midfielder,1,,1,1,57.53716298,5.705043955,12,5,29,8,0.427107789,25,3,12.23474157,2.519378618,44,,2020
126,Player B,Team A,30,190.9574452,109.7047051,Defender,0,6,5,1,,8.137537857,33,14,20,8,0.818014766,60,4,7.836940052,0.261337224,99,35.35774529,2021
127,Player A,Team C,19,192.5531653,,Defender,,5,9,0,,8.0974023,61,12,2,0,0.860730583,79,8,19.06098913,5.798156644,0.44,566.9584626,2020
128,Player D,Team C,36,179.7403673,,Defender,25,9,1,2,87.21333873,6.023812419,72,0,17,8,0.006952131,24,7,5.154550977,0,0.153846154,417.9046217,2019
129,Player D,Team B,19,168.2147274,85.97765588,Defender,27,,4,4,97.77749714,10.24716598,50,4,8,0,0.510747303,15,2,11.18929513,0.244475859,0.678571429,565.4791251,2019
130,Player D,Team B,20,,99.60930024,Goalkeeper,3,15,3,3,95.94826551,11.04578478,82,3,4,0,0.417411003,95,5,18.90121657,0,17.25,219.8409111,2021
131,Player A,Team B,23,187.9885231,77.35834845,Midfielder,8,1,6,2,73.79668913,12.28819078,86,5,10,1,0.22210781,14,9,10.7662731,0.381566404,5.111111111,106.9440242,2022
132,Player A,Team B,20,169.8508294,108.8915846,Forward,26,3,3,4,73.06725445,5.510137446,40,10,28,9,0.119865367,54,0,6.396639209,1.104192323,1.851851852,254.7756784,2020
133,Player A,Team B,27,196.1363102,97.40330658,Midfielder,29,,6,4,56.28489476,7.753973298,54,14,0,5,0.337615171,78,2,9.543424143,3.704645025,2.433333333,485.006055,2022
134,Player C,Team B,23,164.1748583,,Defender,27,4,7,2,,8.552035023,27,10,1,8,0.942909704,6,9,12.47015591,6.301033911,0.321428571,579.8724847,2019
135,Player A,Team B,33,199.3075296,,Defender,26,0,6,2,88.00488986,13.9224136,93,4,17,4,0.323202932,78,6,7.77727531,4.19629372,1.111111111,491.8442091,2021
136,Player A,Team B,34,194.4099124,111.9660289,Midfielder,,10,1,0,,14.01392012,60,4,27,8,0.518790622,81,6,11.99842558,2.662078473,1.857142857,270.0419311,2021
137,Player A,Team A,36,187.5159458,,Midfielder,27,,0,3,61.70818328,7.599718641,6,2,19,8,0.703018959,18,1,17.54514794,0.130597773,0.035714286,,2022
138,Player C,Team C,20,197.5499955,76.68033574,Goalkeeper,21,2,4,3,,9.873310574,77,9,13,7,0.363629602,20,2,18.08926955,0.435719642,2.090909091,328.7527181,2022
139,Player A,Team B,35,188.8924467,104.4349799,Defender,25,0,6,3,,9.247563631,1,14,21,6,0.971782083,62,6,5.738911021,1.532952949,0.192307692,412.0256601,2020
140,Player D,Team B,24,167.6182799,,Midfielder,280,3,0,2,97.04065527,10.26707577,75,1,7,2,0.962447295,81,5,7.413550371,3.336350405,0.110320285,5050.052481,2021
141,Player A,Team C,26,177.6862455,,Defender,24,8,7,0,64.29146096,7.861147849,1,6,29,9,0.251782296,80,6,9.129352037,2.123178918,3.64,235.1788932,2019
142,Player D,Team A,37,,74.24795238,Midfielder,9,15,2,1,79.80048812,9.629216474,27,9,28,2,0.497248506,40,9,13.92298776,0,7.6,395.7580951,2021
143,Player D,Team C,29,175.5862969,75.85311182,Defender,19,6,6,0,57.61100145,6.453704092,53,14,28,3,0.30087831,39,8,10.41492138,3.001941912,2.9,230.7680591,2019
144,Player D,Team C,22,189.6641208,112.2115053,Midfielder,13,4,2,2,90.13983275,12.09550449,91,11,18,8,0.284840494,52,7,17.6606137,1.584423596,3.5,153.1204164,2022
145,Player C,Team B,20,,,Defender,0,12,3,0,59.31723336,8.697404705,75,7,13,2,0.036886947,32,5,15.75007802,4.550956215,30,159.7349919,2022
146,Player C,Team C,28,,86.12872089,Forward,,10,7,2,90.46921955,10.42416693,93,4,25,7,0.609564334,73,3,6.506840347,0,1.4,220.1657172,2020
147,Player C,Team C,21,183.8142289,,Goalkeeper,12,13,1,4,70.0881274,11.04601218,57,8,13,7,0.502679023,27,9,14.36836254,3.875678526,4,332.9722286,2019
148,Player A,Team B,22,194.8881812,69.36689595,Forward,5,16,5,4,,13.36525696,46,0,25,5,0.051478751,52,8,6.69518938,0.80620641,11.5,205.0212971,2020
149,Player D,Team B,18,,,Goalkeeper,210,11,9,1,,5.817593684,60,12,21,1,0.278646464,97,6,8.825535045,0,0.469194313,1487.299113,2022
150,Player C,Team B,35,175.4188174,58.38884631,Goalkeeper,,18,8,4,94.13882282,9.827401495,39,2,19,5,0.908265886,63,4,7.668059503,2.805835331,,,2022
151,Player C,Team B,29,,111.5490849,Midfielder,16,4,9,1,87.99342219,13.9407208,85,7,7,3,0.239561891,74,1,7.595929238,0.890123748,0.235294118,304.7663363,2020
152,Player A,Team C,30,187.81417,104.5442196,Forward,,7,8,3,67.7136982,8.297975095,17,4,8,6,0.144894872,63,8,14.24593287,1.847504163,0.466666667,233.4899085,2021
153,Player C,Team C,26,164.2289824,63.35237846,Goalkeeper,,1,4,2,79.26820215,9.445261721,13,1,24,0,0.48945276,17,6,13.45407384,0,,,2020
